Lellouche; Pierre; 1ère circonscription; LES-REP
Fillon; François; 2ème circonscription;LES-REP
Lepetit; Annick; 3ème circonscription;SRC
Debré; Bernard; 4ème circonscription;LES-REP
Dagoma; Seybah; 5ème circonscription;SRC
Duflot; Cécile; 6ème circonscription;ECOLO
Hoffman-Rispal; Danièle; 6ème circonscription;SRC
Bloche; Patrick; 7ème circonscription;SRC
Mazetier; Sandrine; 8ème circonscription;SRC
Le Guen; Jean-Marie; 9ème circonscription; SRC 
Lang; Anne-Christine; 9ème circonscription;SRC
Baupin; Denis; 10ème circonscription; ECOLO 
Cherki; Pascal; 11ème circonscription; SRC 
Goujon; Philippe; 12ème circonscription;LES-REP 
Lamour; Jean-François; 13ème circonscription;LES-REP
Goasguen; Claude; 14ème circonscription; LES-REP 
Pau-Langevin; George; 15ème circonscription;SRC
Carrey-Conte; Fanélie ;15ème circonscription; SRC 
Cambadélis; Jean-Christophe; 16ème circonscription; SRC
Vaillant; Daniel ;17ème circonscription; SRC
Caresche; Christophe; 18ème circonscription;SRC  
